LB          134936         000000000+0000000000000+    000000000+           20379          200708                                         90000146000012006101934547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000146000022006101934547
LB          134936         000000000+0000000000000+    000000591+           21208          200708                                         90000146000032006101934547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000146000042006101934547
LB          134935         000000000+0000000000000+    000000251+           22048          200803                                         90000146000052006101934547
LB          134935         000000000+0000000000000+    000000400+           22758          200806                                         90000146000062006101934547
LB          243804         000000000+0000000000000+    000000964+           20588          200709                                         90000146000072006101934547
LB          243803         000000000+0000000000000+    000000133+           19311          200703                                         90000146000082006101934547
LB          243803         000000000+0000000000000+    000000300+           23348          200804                                         90000146000092006101934547
LB          133310         000000000+0000000000000+    000000002+           21079          200707                                         90000146000102006101934547
LB          133310         000000000+0000000000000+    000000246+           22595          200710                                         90000146000112006101934547
LG          243804         000000362-0000000000000+    000000000+ IN2006101919157                                                         90000146000122006101934547
LG          243804         000000181-0000000000000+    000000000+ IN2006101919157                                                         90000146000132006101934547
FARAPAMRAPAM134936         000000004+0000000164800+ EUR000000000+   2006101920379          200708          000512                         90000146000142006101934547
FARAPAMRAPAM134936         000000008+0000000329600+ EUR000000000+   2006101921208          200708          000512                         90000146000152006101934547
FARAPAMRAPAM134935         000000002+0000000024720+ EUR000000000+   2006101922048          200803          000512                         90000146000162006101934547
FARAPAMRAPAM243804         000000003+0000000247200+ EUR000000000+   2006101920588          200709          000512                         90000146000172006101934547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006101922048          200803          000517                         90000146000182006101934547
FARAPAMRAPAM134936         000000001+0000000041200+ EUR000000000+   2006101921208          200708          000518                         90000146000192006101934547
ST                         000000019+0000000819880+    000000000+                                                                         900001460002020061019
