LB          134936         000000000+0000000000000+    000000752+           20043          200708                                         90000048000012006062634547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000048000022006062634547
LB          134936         000000000+0000000000000+    000000560+           21208          200708                                         90000048000032006062634547
LB          134935         000000000+0000000000000+    000000075+           20974          200710                                         90000048000042006062634547
LB          243804         000000000+0000000000000+    000000852+           19157          200702                                         90000048000052006062634547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000048000062006062634547
LB          243803         000000000+0000000000000+    000000233+           19311          200703                                         90000048000072006062634547
LB          133310         000000000+0000000000000+    000000009+           19227          200612                                         90000048000082006062634547
LB          133310         000000000+0000000000000+    000000096+           21079          200707                                         90000048000092006062634547
FARAPAMRAPAM134936         000000010+0000000412000+ EUR000000000+   2006062620043          200708          000173                         90000048000102006062634547
ST                         000000010+0000000412000+    000000000+                                                                         900000480001120060626
