LB          134936         000000000+0000000000000+    000000050+           20043          200708                                         90000102000012006082934547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000102000022006082934547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000102000032006082934547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000102000042006082934547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000102000052006082934547
LB          134935         000000000+0000000000000+    000000341+           22048          200803                                         90000102000062006082934547
LB          134935         000000000+0000000000000+    000000400+           22758          200806                                         90000102000072006082934547
LB          243804         000000000+0000000000000+    000000676+           19157          200702                                         90000102000082006082934547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000102000092006082934547
LB          243803         000000000+0000000000000+    000000168+           19311          200703                                         90000102000102006082934547
LB          133310         000000000+0000000000000+    000000077+           21079          200707                                         90000102000112006082934547
LB          133310         000000000+0000000000000+    000000246+           22595          200710                                         90000102000122006082934547
ST                         000000000+0000000000000+    000000000+                                                                         900001020001320060829
