LB          134936         000000000+0000000000000+    000000239+           20379          200708                                         90000122000012006092134547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000122000022006092134547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000122000032006092134547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000122000042006092134547
LB          134935         000000000+0000000000000+    000000294+           22048          200803                                         90000122000052006092134547
LB          134935         000000000+0000000000000+    000000400+           22758          200806                                         90000122000062006092134547
LB          243804         000000000+0000000000000+    000000591+           19157          200702                                         90000122000072006092134547
LB          243804         000000000+0000000000000+    000001338+           20588          200709                                         90000122000082006092134547
LB          243803         000000000+0000000000000+    000000151+           19311          200703                                         90000122000092006092134547
LB          133310         000000000+0000000000000+    000000060+           21079          200707                                         90000122000102006092134547
LB          133310         000000000+0000000000000+    000000246+           22595          200710                                         90000122000112006092134547
FARAPAMRAPAM243804         000000000+0000000824000- EUR000000000+ G420060921                               000447                         90000122000122006092134547
FARAPAMRAPAM133310         000000000+0000000024720- EUR000000000+   20060921                               000446                         90000122000132006092134547
ST                         000000000+0000000848720-    000000000+                                                                         900001220001420060921
