LB          134936         000000000+0000000000000+    000000152+           18582          200708                                         90000015000012006051834547
LB          134936         000000000+0000000000000+    000000800+           20043          200708                                         90000015000022006051834547
LB          134936         000000000+0000000000000+    000000747+           20379          200708                                         90000015000032006051834547
LB          134935         000000000+0000000000000+    000000109+           20974          200710                                         90000015000042006051834547
LB          243804         000000000+0000000000000+    000000931+           19157          200702                                         90000015000052006051834547
LB          243804         000000000+0000000000000+    000000850+Q          20588          200709                                         90000015000062006051834547
LB          243803         000000000+0000000000000+    000000281+           19311          200703                                         90000015000072006051834547
LB          133310         000000000+0000000000000+    000000028+           19227          200612                                         90000015000082006051834547
LG          243804         000000550+0000000000000+    000000000+ WE2006051820588                                                         90000015000092006051834547
LG          243804         000000300+0000000000000+    000000000+ WE2006051820588                                                         90000015000102006051834547
FARAPAMRAPAM134935         000000002+0000000024720+ EUR000000000+   2006051820974          200710          000073                         90000015000112006051834547
FARAPAMRAPAM133310         000000010+0000000247200+ EUR000000000+   2006051819227          200612          000074                         90000015000122006051834547
FARAPAMRAPAM134936         000000019+0000000782800+ EUR000000000+   2006051818582          200708          000075                         90000015000132006051834547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006051820974          200710          000075                         90000015000142006051834547
FARAPAMRAPAM243804         000000001+0000000082400+ EUR000000000+   2006051819157          200702          000075                         90000015000152006051834547
ST                         000000033+0000001149480+    000000000+                                                                         900000150001620060518
