LB          134936         000000000+0000000000000+    000000737+           20043          200708                                         90000033000012006060834547
LB          134936         000000000+0000000000000+    000000747+           20379          200708                                         90000033000022006060834547
LB          134935         000000000+0000000000000+    000000093+           20974          200710                                         90000033000032006060834547
LB          243804         000000000+0000000000000+    000000866+           19157          200702                                         90000033000042006060834547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000033000052006060834547
LB          243803         000000000+0000000000000+    000000248+           19311          200703                                         90000033000062006060834547
LB          133310         000000000+0000000000000+    000000013+           19227          200612                                         90000033000072006060834547
LB          133310         000000000+0000000000000+    000000096+Q          21079          200707                                         90000033000082006060834547
FARAPAMRAPAM134936         000000005+0000000206000+ EUR000000000+   2006060820043          200708          000126                         90000033000092006060834547
FARAPAMRAPAM243804         000000002+0000000164800+ EUR000000000+   2006060819157          200702          000125                         90000033000102006060834547
FARAPAMRAPAM134935         000000006+0000000074160+ EUR000000000+   2006060820974          200710          000127                         90000033000112006060834547
FARAPAMRAPAM243803         000000002+0000000049440+ EUR000000000+   2006060819311          200703          000127                         90000033000122006060834547
FARAPAMRAPAM134936         000000002+0000000082400+ EUR000000000+   2006060820043          200708          000128                         90000033000132006060834547
FARAPAMRAPAM243803         000000001+0000000024720+ EUR000000000+   2006060819311          200703          000129                         90000033000142006060834547
FARAPAMRAPAM134936         000000005+0000000206000+ EUR000000000+   2006060820043          200708          000130                         90000033000152006060834547
FARAPAMRAPAM134936         000000003+0000000123600+ EUR000000000+   2006060820043          200708          000131                         90000033000162006060834547
FARAPAMRAPAM243804         000000001+0000000082400+ EUR000000000+   2006060819157          200702          000132                         90000033000172006060834547
ST                         000000027+0000001013520+    000000000+                                                                         900000330001820060608
