LB          134936         000000000+0000000000000+    000000558+           20043          200708                                         90000058000012006070734547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000058000022006070734547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000058000032006070734547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000058000042006070734547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000058000052006070734547
LB          134935         000000000+0000000000000+    000000028+           20974          200710                                         90000058000062006070734547
LB          134935         000000000+0000000000000+    000000400+           22048          200803                                         90000058000072006070734547
LB          243804         000000000+0000000000000+    000000803+           19157          200702                                         90000058000082006070734547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000058000092006070734547
LB          243803         000000000+0000000000000+    000000202+           19311          200703                                         90000058000102006070734547
LB          133310         000000000+0000000000000+    000000003+           19227          200612                                         90000058000112006070734547
LB          133310         000000000+0000000000000+    000000096+           21079          200707                                         90000058000122006070734547
LG          134935         000000001-0000000000000+    000000000+ IN2006070720974                                                         90000058000132006070734547
FARAPAMRAPAM134936         000000005+0000000206000+ EUR000000000+   2006070720043          200708          000206                         90000058000142006070734547
FARAPAMRAPAM243804         000000004+0000000329600+ EUR000000000+   2006070719157          200702          000206                         90000058000152006070734547
FARAPAMRAPAM243803         000000002+0000000049440+ EUR000000000+   2006070719311          200703          000206                         90000058000162006070734547
FARAPAMRAPAM134935         000000002+0000000024720+ EUR000000000+   2006070720974          200710          000208                         90000058000172006070734547
ST                         000000013+0000000609760+    000000000+                                                                         900000580001820060707
