LB          134936         000000000+0000000000000+    000000765+           20043          200708                                         90000045000012006062234547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000045000022006062234547
LB          134936         000000000+0000000000000+    000000560+           21208          200708                                         90000045000032006062234547
LB          134935         000000000+0000000000000+    000000076+           20974          200710                                         90000045000042006062234547
LB          243804         000000000+0000000000000+    000000852+           19157          200702                                         90000045000052006062234547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000045000062006062234547
LB          243803         000000000+0000000000000+    000000233+           19311          200703                                         90000045000072006062234547
LB          133310         000000000+0000000000000+    000000009+           19227          200612                                         90000045000082006062234547
LB          133310         000000000+0000000000000+    000000096+           21079          200707                                         90000045000092006062234547
FARAPAMRAPAM243803         000000001+0000000024720+ EUR000000000+   2006062219311          200703          000168                         90000045000102006062234547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006062220974          200710          000169                         90000045000112006062234547
FARAPAMRAPAM134936         000000002+0000000082400+ EUR000000000+   2006062220043          200708          000170                         90000045000122006062234547
ST                         000000004+0000000119480+    000000000+                                                                         900000450001320060622
