LB          134936         000000000+0000000000000+    000000050+           20043          200708                                         90000103000012006083034547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000103000022006083034547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000103000032006083034547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000103000042006083034547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000103000052006083034547
LB          134935         000000000+0000000000000+    000000340+           22048          200803                                         90000103000062006083034547
LB          134935         000000000+0000000000000+    000000400+           22758          200806                                         90000103000072006083034547
LB          243804         000000000+0000000000000+    000000676+           19157          200702                                         90000103000082006083034547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000103000092006083034547
LB          243803         000000000+0000000000000+    000000168+           19311          200703                                         90000103000102006083034547
LB          133310         000000000+0000000000000+    000000077+           21079          200707                                         90000103000112006083034547
LB          133310         000000000+0000000000000+    000000246+           22595          200710                                         90000103000122006083034547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006083022048          200803          000364                         90000103000132006083034547
ST                         000000001+0000000012360+    000000000+                                                                         900001030001420060830
