LB          134936         000000000+0000000000000+    000000135+           18582          200708                                         90000017000012006052034547
LB          134936         000000000+0000000000000+    000000800+           20043          200708                                         90000017000022006052034547
LB          134936         000000000+0000000000000+    000000747+           20379          200708                                         90000017000032006052034547
LB          134935         000000000+0000000000000+    000000108+           20974          200710                                         90000017000042006052034547
LB          243804         000000000+0000000000000+    000000931+           19157          200702                                         90000017000052006052034547
LB          243804         000000000+0000000000000+    000000850+           20588          200709                                         90000017000062006052034547
LB          243803         000000000+0000000000000+    000000281+           19311          200703                                         90000017000072006052034547
LB          133310         000000000+0000000000000+    000000028+           19227          200612                                         90000017000082006052034547
BORAPAMRAPAM134935         000000001+0000000000000+ EUR000000000+   20060519                               000076                         90000017000092006052034547
BORAPAMRAPAM243804         000000003+0000000000000+ EUR000000000+   20060519                               000076                         90000017000102006052034547
ST                         000000000+0000000000000+    000000000+                                                                         900000170001120060520
