LB          134936         000000000+0000000000000+    000000272+           20379          200708                                         90000115000012006091334547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000115000022006091334547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000115000032006091334547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000115000042006091334547
LB          134935         000000000+0000000000000+    000000296+           22048          200803                                         90000115000052006091334547
LB          134935         000000000+0000000000000+    000000400+           22758          200806                                         90000115000062006091334547
LB          243804         000000000+0000000000000+    000000597+           19157          200702                                         90000115000072006091334547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000115000082006091334547
LB          243803         000000000+0000000000000+    000000152+           19311          200703                                         90000115000092006091334547
LB          133310         000000000+0000000000000+    000000066+           21079          200707                                         90000115000102006091334547
LB          133310         000000000+0000000000000+    000000246+           22595          200710                                         90000115000112006091334547
ST                         000000000+0000000000000+    000000000+                                                                         900001150001220060913
