LB          134936         000000000+0000000000000+    000000137+           20043          200708                                         90000081000012006080334547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000081000022006080334547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000081000032006080334547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000081000042006080334547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000081000052006080334547
LB          134935         000000000+0000000000000+    000000376+           22048          200803                                         90000081000062006080334547
LB          243804         000000000+0000000000000+    000000696+           19157          200702                                         90000081000072006080334547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000081000082006080334547
LB          243803         000000000+0000000000000+    000000188+           19311          200703                                         90000081000092006080334547
LB          133310         000000000+0000000000000+    000000087+           21079          200707                                         90000081000102006080334547
LG          134936         000000001-0000000000000+    000000000+ IN2006073120043                                                         90000081000112006080334547
LG          134936         000000001+0000000000000+    000000000+ WE2006080320043                                                         90000081000122006080334547
FARAPAMRAPAM134936         000000001+0000000000000+NEUR000000000+   2006080320043          200708          000257                         90000081000132006080334547
FARAPAMRAPAM134936         000000060+0000002472000+ EUR000000000+   2006080320043          200708          000299                         90000081000142006080334547
FARAPAMRAPAM134936         000000010+0000000412000+ EUR000000000+   2006080320043          200708          000300                         90000081000152006080334547
ST                         000000071+0000002884000+    000000000+                                                                         900000810001620060803
