LB          134936         000000000+0000000000000+    000000132+           20043          200708                                         90000083000012006080534547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000083000022006080534547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000083000032006080534547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000083000042006080534547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000083000052006080534547
LB          134935         000000000+0000000000000+    000000376+           22048          200803                                         90000083000062006080534547
LB          243804         000000000+0000000000000+    000000695+           19157          200702                                         90000083000072006080534547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000083000082006080534547
LB          243803         000000000+0000000000000+    000000184+           19311          200703                                         90000083000092006080534547
LB          133310         000000000+0000000000000+    000000087+           21079          200707                                         90000083000102006080534547
ST                         000000000+0000000000000+    000000000+                                                                         900000830001120060805
