LB          134936         000000000+0000000000000+    000000237+           20379          200708                                         90000124000012006092334547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000124000022006092334547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000124000032006092334547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000124000042006092334547
LB          134935         000000000+0000000000000+    000000294+           22048          200803                                         90000124000052006092334547
LB          134935         000000000+0000000000000+    000000400+           22758          200806                                         90000124000062006092334547
LB          243804         000000000+0000000000000+    000000591+           19157          200702                                         90000124000072006092334547
LB          243804         000000000+0000000000000+    000001338+           20588          200709                                         90000124000082006092334547
LB          243803         000000000+0000000000000+    000000151+           19311          200703                                         90000124000092006092334547
LB          133310         000000000+0000000000000+    000000060+           21079          200707                                         90000124000102006092334547
LB          133310         000000000+0000000000000+    000000246+           22595          200710                                         90000124000112006092334547
ST                         000000000+0000000000000+    000000000+                                                                         900001240001220060923
