LB          134936         000000000+0000000000000+    000000767+           20043          200708                                         90000044000012006062134547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000044000022006062134547
LB          134936         000000000+0000000000000+    000000560+           21208          200708                                         90000044000032006062134547
LB          134935         000000000+0000000000000+    000000077+           20974          200710                                         90000044000042006062134547
LB          243804         000000000+0000000000000+    000000852+           19157          200702                                         90000044000052006062134547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000044000062006062134547
LB          243803         000000000+0000000000000+    000000234+           19311          200703                                         90000044000072006062134547
LB          133310         000000000+0000000000000+    000000009+           19227          200612                                         90000044000082006062134547
LB          133310         000000000+0000000000000+    000000096+           21079          200707                                         90000044000092006062134547
LG          134936         000000223+0000000000000+    000000000+ IN2006062120043                                                         90000044000102006062134547
LG          134936         000000223-0000000000000+    000000000+ IN2006062120379                                                         90000044000112006062134547
FARAPAMRAPAM243803         000000001+0000000024720+ EUR000000000+   2006062119311          200703          000165                         90000044000122006062134547
FARAPAMRAPAM133310         000000001+0000000024720+ EUR000000000+   2006062119227          200612          000166                         90000044000132006062134547
FARAPAMRAPAM134936         000000003+0000000123600+ EUR000000000+   2006062120043          200708          000167                         90000044000142006062134547
ST                         000000005+0000000173040+    000000000+                                                                         900000440001520060621
