LB          134936         000000000+0000000000000+    000000000+Q          18582          200708                                         90000042000012006061934547
LB          134936         000000000+0000000000000+    000000560+           20043          200708                                         90000042000022006061934547
LB          134936         000000000+0000000000000+    000000747+           20379          200708                                         90000042000032006061934547
LB          134936         000000000+0000000000000+    000000560+           21208          200708                                         90000042000042006061934547
LB          134935         000000000+0000000000000+    000000081+           20974          200710                                         90000042000052006061934547
LB          243804         000000000+0000000000000+    000000852+           19157          200702                                         90000042000062006061934547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000042000072006061934547
LB          243803         000000000+0000000000000+    000000240+           19311          200703                                         90000042000082006061934547
LB          133310         000000000+0000000000000+    000000013+           19227          200612                                         90000042000092006061934547
LB          133310         000000000+0000000000000+    000000096+           21079          200707                                         90000042000102006061934547
LG          134936         000000002+0000000000000+    000000000+ WE2006061918582                                                         90000042000112006061934547
LG          134936         000000560+0000000000000+    000000000+ WE2006061921208                                                         90000042000122006061934547
LG          243804         000000004+0000000000000+    000000000+ WE2006061919157                                                         90000042000132006061934547
FARAPAMRAPAM243803         000000001+0000000024720+ EUR000000000+   2006061919311          200703          000149                         90000042000142006061934547
FARAPAMRAPAM134936         000000002+0000000082400+ EUR000000000+   2006061918582          200708          000151                         90000042000152006061934547
FARAPAMRAPAM134936         000000002+0000000082400+ EUR000000000+   2006061920043          200708          000151                         90000042000162006061934547
FARAPAMRAPAM243804         000000004+0000000329600+ EUR000000000+   2006061919157          200702          000151                         90000042000172006061934547
FARAPAMRAPAM243803         000000002+0000000049440+ EUR000000000+   2006061919311          200703          000151                         90000042000182006061934547
FARAPAMRAPAM134936         000000005+0000000206000+ EUR000000000+   2006061920043          200708          000152                         90000042000192006061934547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006061920974          200710          000152                         90000042000202006061934547
FARAPAMRAPAM134936         000000010+0000000412000+ EUR000000000+   2006061920043          200708          000153                         90000042000212006061934547
FARAPAMRAPAM134935         000000002+0000000024720+ EUR000000000+   2006061920974          200710          000154                         90000042000222006061934547
ST                         000000029+0000001223640+    000000000+                                                                         900000420002320060619
