LB          134936         000000000+0000000000000+    000000503+           20043          200708                                         90000067000012006071834547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000067000022006071834547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000067000032006071834547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000067000042006071834547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000067000052006071834547
LB          134935         000000000+0000000000000+    000000019+           20974          200710                                         90000067000062006071834547
LB          134935         000000000+0000000000000+    000000400+           22048          200803                                         90000067000072006071834547
LB          243804         000000000+0000000000000+    000000787+           19157          200702                                         90000067000082006071834547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000067000092006071834547
LB          243803         000000000+0000000000000+    000000197+           19311          200703                                         90000067000102006071834547
LB          133310         000000000+0000000000000+    000000093+           21079          200707                                         90000067000112006071834547
LG          134935         000000002+0000000000000+    000000000+ WE2006071820974                                                         90000067000122006071834547
FARAPAMRAPAM134935         000000000+0000000024720- EUR000000000+ G420060718                               000244                         90000067000132006071834547
FARAPAMRAPAM134936         000000001+0000000041200+ EUR000000000+   2006071820043          200708          000246                         90000067000142006071834547
FARAPAMRAPAM134936         000000010+0000000412000+ EUR000000000+   2006071820043          200708          000247                         90000067000152006071834547
ST                         000000011+0000000428480+    000000000+                                                                         900000670001620060718
