LB          134936         000000000+0000000000000+    000000746+           20043          200708                                         90000052000012006063034547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000052000022006063034547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000052000032006063034547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000052000042006063034547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000052000052006063034547
LB          134935         000000000+0000000000000+    000000073+           20974          200710                                         90000052000062006063034547
LB          134935         000000000+0000000000000+    000000400+           22048          200803                                         90000052000072006063034547
LB          243804         000000000+0000000000000+    000000850+           19157          200702                                         90000052000082006063034547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000052000092006063034547
LB          243803         000000000+0000000000000+    000000220+           19311          200703                                         90000052000102006063034547
LB          133310         000000000+0000000000000+    000000009+           19227          200612                                         90000052000112006063034547
LB          133310         000000000+0000000000000+    000000096+           21079          200707                                         90000052000122006063034547
FARAPAMRAPAM243804         000000001-0000000049440- EUR000000000+ G420060630                               000006                         90000052000132006063034547
FARAPAMRAPAM243804         000000003-0000000148320- EUR000000000+ G420060630                               000007                         90000052000142006063034547
FARAPAMRAPAM243803         000000002-0000000029664- EUR000000000+ G420060630                               000007                         90000052000152006063034547
ST                         000000006-0000000227424-    000000000+                                                                         900000520001620060630
