LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000151000012006102534547
LB          134936         000000000+0000000000000+    000000566+           21208          200708                                         90000151000022006102534547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000151000032006102534547
LB          134935         000000000+0000000000000+    000000242+           22048          200803                                         90000151000042006102534547
LB          134935         000000000+0000000000000+    000000400+           22758          200806                                         90000151000052006102534547
LB          243804         000000000+0000000000000+    000000963+           20588          200709                                         90000151000062006102534547
LB          243803         000000000+0000000000000+    000000130+           19311          200703                                         90000151000072006102534547
LB          243803         000000000+0000000000000+    000000300+           23348          200804                                         90000151000082006102534547
LB          133310         000000000+0000000000000+    000000002+           21079          200707                                         90000151000092006102534547
LB          133310         000000000+0000000000000+    000000246+           22595          200710                                         90000151000102006102534547
FARAPAMRAPAM134936         000000002+0000000082400+ EUR000000000+   2006102521208          200708          000533                         90000151000112006102534547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006102522048          200803          000534                         90000151000122006102534547
FARAPAMRAPAM134936         000000003+0000000123600+ EUR000000000+   2006102521208          200708          000535                         90000151000132006102534547
FARAPAMRAPAM134935         000000003+0000000037080+ EUR000000000+   2006102522048          200803          000535                         90000151000142006102534547
ST                         000000009+0000000255440+    000000000+                                                                         900001510001520061025
