LB          134936         000000000+0000000000000+    000000050+           20043          200708                                         90000104000012006083134547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000104000022006083134547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000104000032006083134547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000104000042006083134547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000104000052006083134547
LB          134935         000000000+0000000000000+    000000340+           22048          200803                                         90000104000062006083134547
LB          134935         000000000+0000000000000+    000000400+           22758          200806                                         90000104000072006083134547
LB          243804         000000000+0000000000000+    000000676+           19157          200702                                         90000104000082006083134547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000104000092006083134547
LB          243803         000000000+0000000000000+    000000168+           19311          200703                                         90000104000102006083134547
LB          133310         000000000+0000000000000+    000000077+           21079          200707                                         90000104000112006083134547
LB          133310         000000000+0000000000000+    000000246+           22595          200710                                         90000104000122006083134547
ST                         000000000+0000000000000+    000000000+                                                                         900001040001320060831
