LB          134936         000000000+0000000000000+    000000069+           20043          200708                                         90000092000012006081734547
LB          134936         000000000+0000000000000+    000000524+           20379          200708                                         90000092000022006081734547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000092000032006081734547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000092000042006081734547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000092000052006081734547
LB          134935         000000000+0000000000000+    000000356+           22048          200803                                         90000092000062006081734547
LB          243804         000000000+0000000000000+    000000680+           19157          200702                                         90000092000072006081734547
LB          243804         000000000+0000000000000+    000001348+           20588          200709                                         90000092000082006081734547
LB          243803         000000000+0000000000000+    000000171+           19311          200703                                         90000092000092006081734547
LB          133310         000000000+0000000000000+    000000087+           21079          200707                                         90000092000102006081734547
LB          133310         000000000+0000000000000+    000000150+Q          22595          200710                                         90000092000112006081734547
LG          133310         000000150+0000000000000+    000000000+ WE2006081722595                                                         90000092000122006081734547
FARAPAMRAPAM134936         000000005+0000000206000+ EUR000000000+   2006081720043          200708          000330                         90000092000132006081734547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006081722048          200803          000331                         90000092000142006081734547
ST                         000000006+0000000218360+    000000000+                                                                         900000920001520060817
