LB          134936         000000000+0000000000000+    000000019+           20379          200708                                         90000141000012006101334547
LB          134936         000000000+0000000000000+    000000510+           21059          200803                                         90000141000022006101334547
LB          134936         000000000+0000000000000+    000000600+           21208          200708                                         90000141000032006101334547
LB          134936         000000000+0000000000000+    000000090+           22047          200803                                         90000141000042006101334547
LB          134935         000000000+0000000000000+    000000256+           22048          200803                                         90000141000052006101334547
LB          134935         000000000+0000000000000+    000000400+           22758          200806                                         90000141000062006101334547
LB          243804         000000000+0000000000000+    000000543+Q          19157          200702                                         90000141000072006101334547
LB          243804         000000000+0000000000000+    000000971+           20588          200709                                         90000141000082006101334547
LB          243803         000000000+0000000000000+    000000133+           19311          200703                                         90000141000092006101334547
LB          243803         000000000+0000000000000+    000000300+           23348          200804                                         90000141000102006101334547
LB          133310         000000000+0000000000000+    000000006+           21079          200707                                         90000141000112006101334547
LB          133310         000000000+0000000000000+    000000246+           22595          200710                                         90000141000122006101334547
LG          243804         000000050-0000000000000+    000000000+ IN2006101320588                                                         90000141000132006101334547
LG          243804         000000300-0000000000000+    000000000+ IN2006101320588                                                         90000141000142006101334547
FARAPAMRAPAM134936         000000010+0000000412000+ EUR000000000+   2006101320379          200708          000500                         90000141000152006101334547
ST                         000000010+0000000412000+    000000000+                                                                         900001410001620061013
